utc_time	profile	phase	t_skeleton_ms	t_ready_ms	t_content_ms	t_first_message_row_ms	stalls_over_4ms	stalls_over_8ms	max_stall_ms	probe_ticks	objects_total	chat_delegates	message_delegates	objects_settled	message_delegates_settled	gentle_bite_ms	gentle_interval_ms
2026-08-20T04:54:22Z	chat-1000c-2000m	cold	187.51	504.37	505.55	548.76	17	5	190.46	289	8023	18	0	19131	37	2	4
2026-08-20T04:54:22Z	chat-1000c-2000m	warm	6.61	109.03	110.38	147.72	10	1	31.44	162	8023	18	0	19131	37	2	4
2026-08-20T04:54:24Z	chat-1000c-2000m	cold	190.08	415.33	416.12	470.98	19	5	193.17	219	5507	1	0	19131	37	2	4
2026-08-20T04:54:24Z	chat-1000c-2000m	warm	10.53	85.21	86.07	137.98	8	2	44.14	143	5507	1	0	19131	37	2	4
2026-08-20T04:54:25Z	chat-1000c-2000m	cold	181.07	429.96	431.09	470.24	13	5	183.70	236	8023	18	0	19131	37	2	4
2026-08-20T04:54:25Z	chat-1000c-2000m	warm	9.72	117.38	118.83	156.10	12	3	28.93	161	8023	18	0	19131	37	2	4
2026-08-20T04:54:27Z	chat-1000c-2000m	cold	178.52	421.04	422.21	460.66	17	5	181.21	231	8023	18	0	19131	37	2	4
2026-08-20T04:54:27Z	chat-1000c-2000m	warm	5.22	93.49	95.05	136.12	12	2	31.34	154	8023	18	0	19131	37	2	4
2026-08-20T04:54:28Z	chat-1000c-2000m	cold	182.49	433.90	435.07	473.69	15	5	185.15	239	8023	18	0	19131	37	2	4
2026-08-20T04:54:28Z	chat-1000c-2000m	warm	14.88	138.56	139.92	173.91	12	2	25.80	169	8023	18	0	19131	37	2	4
2026-08-20T04:54:29Z	chat-1000c-2000m	cold	182.45	433.77	434.95	468.64	13	5	185.15	232	8023	18	0	19131	37	2	4
2026-08-20T04:54:29Z	chat-1000c-2000m	warm	8.67	117.00	118.39	157.91	7	3	28.12	166	8023	18	0	19131	37	2	4
2026-08-20T04:54:31Z	chat-1000c-2000m	cold	181.65	425.48	426.64	466.92	16	5	184.28	235	8023	18	0	19131	37	2	4
2026-08-20T04:54:31Z	chat-1000c-2000m	warm	6.41	113.52	114.89	153.98	10	1	28.23	161	8023	18	0	19131	37	2	4
